Speaker_Name,Data_type,Link,Start_time,Processed,,
Barack_Obama,Train,https://www.youtube.com/watch?v=7WQUHe2kINM,0:00:01,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=DLUNgRAbR7w,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=agKFUAf74bA,0:00:02,Yes,,
Barack_Obama,Test,https://www.americanrhetoric.com/speeches/barackobama/barackobamainauguralluncheontoast.htm,0:00:03,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=5lVIuW8vJ_E,0:00:02,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=JOas-vuAbG0,0:01:01,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=YOt8hpk8_38,0:00:02,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=GefYjSb6RZc,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=agKFUAf74bA,0:00:01,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=lL7oF6jQudA&t=2400s,0:40:02,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=Oxfw3ZfBx6I,0:00:02,Yes,,
Barack_Obama,Test,https://www.americanrhetoric.com/speeches/barackobama/barackobamachildrensmemorialyadvashem.htm,0:00:02,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=uJuxLDRsSQc,0:02:30,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=GefYjSb6RZc,0:00:02,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=Oxfw3ZfBx6I&t=5s,0:00:03,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=BO_dUo0M6OU&t=2s,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=yhCM_4sMI1M,0:01:20,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=4x-VKqe4cvA,0:00:02,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=Exb6ShutZ18,0:00:02,Yes,,
Barack_Obama,Test,https://www.youtube.com/watch?v=yr9x1CzW2Yw,0:04:47,Yes,,
Barack_Obama,Train,https://www.americanrhetoric.com/speeches/barackobama/barackobamabostoninterfaithprayerservice.htm,0:00:01,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=bXchBWwxI_k,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=votoyLE_BMo,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=YMIUWGX7Utc,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=votoyLE_BMo,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=SVtQ6i1jbsk&t=1s,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=-IPcuuhi2Jo,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=EBW7OZGq9Mc,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=T3klq5xakqA,0:00:01,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=EBW7OZGq9Mc,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=T3klq5xakqA,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=e50Tt9qJRQk,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=fEnUbwXAof0,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=dE4bj5cFTuc,00:05:11,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=p73wK92R-0E,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=JJdWNMfrX-M&t=150s,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=B3vqftxScls,0:00:01,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=0JLP_SSDvdM,0:00:02,Yes,,
Barack_Obama,Train,https://www.americanrhetoric.com/speeches/barackobama/barackobamanorthernireland.htm,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=0JLP_SSDvdM&t=1s,0:00:01,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=MHBdZWbncXI,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=DvREml4kPbs,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=M-wEk1lmZMo,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=QeYDhMmVLXI,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=NfLaLshvW3s,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=nFcg-Kbz8BQ&t=1s,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=4GfvGDV9ADc,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=yfLmZlDywL4,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=HmRA_tML2tE,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=lw3SJw-vF-8,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=psIn1A-jkGM,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=eB0s34BcjGI,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=emQGKQ6D0sE,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=yDBEUYDU22I,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=SggOsfjsL0c,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=eIbwXCbiklY,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=emQGKQ6D0sE,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=eIbwXCbiklY,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=SggOsfjsL0c,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=yDBEUYDU22I,0:00:02,Yes,,
Barack_Obama,Train,https://www.youtube.com/watch?v=Z5Zk2Fy_KDI,0:00:02,Yes,,
